,accuracy,precision,recall,f1_score,auc_roc
Logistic Regression (Tuned),0.8446115288220551,0.7261904761904762,0.61,0.6630434782608695,0.9102675585284281
Logistic Regression,0.8446115288220551,0.7261904761904762,0.61,0.6630434782608695,0.9097993311036789
Random Forest (Tuned),0.8320802005012531,0.6896551724137931,0.6,0.6417112299465241,0.9074581939799331
Gradient Boosting (Tuned),0.8270676691729323,0.6631578947368421,0.63,0.6461538461538462,0.9059197324414715
Random Forest,0.8320802005012531,0.6813186813186813,0.62,0.6492146596858639,0.9056020066889632
Gradient Boosting,0.8220551378446115,0.6494845360824743,0.63,0.6395939086294417,0.8993645484949833
Decision Tree,0.8020050125313283,0.6153846153846154,0.56,0.5863874345549738,0.7214715719063545
